name,sap_koh,sap_naoh,iodine,ins,lauric_sat_12_0,myristic_sat_14_0,palmitic_sat_16_0,stearic_sat_18_0,ricinoleic_monounsat_18_1,oleic_monounsat_18_1,linoleic_polyunsat_18_2,linolenic_polyunsat_18_3,bubbly,cleansing,conditioning,hardness,longevity,creamy_lather
Abyssinian Oil,0.168,0.120,98,70,0,0,3,2,0,18,11,4,0,0,33,5,5,5
Acorn Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almond Butter,0.188,0.134,70,118,0,1,9,15,0,58,16,0,1,1,74,25,24,24
"Almond Oil, sweet",0.195,0.139,99,97,0,0,7,0,0,71,18,0,0,0,89,7,7,7
Aloe Butter,0.240,0.171,9,241,45,18,8,3,0,7,2,0,63,63,9,74,11,11
"Andiroba Oil, karaba, crabwood",0.188,0.134,68,120,0,0,28,8,0,51,9,0,0,0,60,36,36,36
Apricot Kernel Oil,0.195,0.139,100,91,0,0,6,0,0,66,27,0,0,0,93,6,6,6
Argan Oil,0.191,0.136,95,95,0,1,14,0,0,46,34,1,1,1,81,15,14,14
Avocado Butter,0.187,0.133,67,120,0,0,21,10,0,53,6,2,0,0,61,31,31,31
Avocado Oil,0.186,0.133,86,99,0,0,20,2,0,58,12,0,0,0,70,22,22,22
Babassu Oil,0.245,0.175,15,230,50,20,11,4,0,10,2,1,70,70,13,85,15,15
Baobab Oil,0.200,0.143,75,125,0,1,24,4,0,37,28,2,1,1,67,29,28,28
Beeswax,0.094,0.067,10,84,0,0,1,3,0,0,0,0,0,0,0,4,4,4
"Black Cumin Seed Oil, nigella sativa",0.195,0.139,133,62,0,0,13,3,0,22,60,1,0,0,83,16,16,16
Black Currant Seed Oil,0.190,0.135,178,12,0,0,6,2,0,13,46,29,0,0,88,8,8,8
Borage Oil,0.190,0.135,135,55,0,0,10,4,0,20,43,5,0,0,68,14,14,14
Brazil Nut Oil,0.190,0.135,100,90,0,0,13,11,0,39,36,1,0,0,76,24,24,24
"Broccoli Seed Oil, Brassica Oleracea",0.172,0.123,105,67,0,0,3,1,0,14,11,9,0,0,34,4,4,4
Buriti Oil,0.223,0.159,70,153,0,0,17,2,0,71,7,1,0,0,79,19,19,19
Camelina Seed Oil,0.188,0.134,144,44,0,0,6,2,0,24,19,45,0,0,88,8,8,8
"Camellia Oil, Tea Seed",0.193,0.138,78,115,0,0,9,2,0,77,8,0,0,0,85,11,11,11
Candelilla Wax,0.044,0.031,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canola Oil,0.186,0.133,110,56,0,0,4,2,0,61,21,11,0,0,93,6,6,6
"Canola Oil, high oleic",0.186,0.133,96,90,0,0,4,2,0,74,12,4,0,0,90,6,6,6
"Carrot Seed Oil, cold pressed",0.144,0.103,56,0,0,0,4,0,0,80,13,0,0,0,93,4,4,4
Castor Oil,0.180,0.128,86,95,0,0,0,0,90,4,4,0,90,0,98,0,0,90
"Cherry Kern2 Oil, p. cerasus",0.192,0.137,120,72,0,0,7,3,0,40,41,5,0,0,86,10,10,10
"Cherry Kernel Oil, p. avium",0.190,0.135,128,62,0,0,8,3,0,31,45,11,0,0,87,11,11,11
Chicken Fat,0.195,0.139,69,130,0,1,25,7,0,38,21,1,1,1,60,33,32,32
Cocoa Butter,0.194,0.138,37,157,0,1,28,33,0,35,3,0,1,1,38,62,61,61
"Coconut Oil, 76 deg",0.257,0.183,10,258,48,19,9,3,0,8,2,0,67,67,10,79,12,12
"Coconut Oil, 92 deg",0.257,0.183,3,258,48,19,9,3,0,8,2,0,67,67,10,79,12,12
"Coconut Oil, fractionated",0.325,0.232,1,324,2,1,0,0,0,0,0,0,3,3,0,3,0,0
"Coconut Oil, Virgin",0.257,0.183,10,258,48,19,9,3,0,8,2,0,67,67,10,79,12,12
Cod Liver Oil,0.186,0.133,163,23,0,4,10,3,0,20,2,3,4,4,25,17,13,13
"Coffee Bean Oil, green",0.185,0.132,85,100,0,0,38,8,0,9,39,2,0,0,50,46,46,46
"Coffee Bean Oil, roasted",0.180,0.128,87,93,0,0,40,0,0,8,38,0,0,0,46,40,40,40
Cohune Oil,0.205,0.146,30,175,51,13,8,3,0,18,3,0,64,64,21,75,11,11
Corn Oil,0.192,0.137,117,69,0,0,12,2,0,32,51,1,0,0,84,14,14,14
Cottonseed Oil,0.194,0.138,108,89,0,0,13,13,0,18,52,1,0,0,71,26,26,26
Cranberry Seed Oil,0.190,0.135,150,40,0,0,6,2,0,23,37,32,0,0,92,8,8,8
"Crisco, new w/palm",0.193,0.138,111,82,0,0,20,5,0,28,40,6,0,0,74,25,25,25
"Crisco, old",0.192,0.137,93,115,0,0,13,13,0,18,52,0,0,0,70,26,26,26
Cupuacu Butter,0.192,0.137,39,153,0,0,8,35,0,42,2,0,0,0,44,43,43,43
"Duck Fat, flesh and skin",0.194,0.138,72,122,0,1,26,9,0,44,13,1,1,1,58,36,35,35
Emu Oil,0.190,0.135,60,128,0,0,23,9,0,47,8,1,0,0,56,32,32,32
Evening Primrose Oil,0.190,0.135,160,30,0,0,7,0,0,0,80,9,0,0,89,7,7,7
"Flax Oil, linseed",0.190,0.135,180,0,0,0,6,3,0,27,13,50,0,0,90,9,9,9
"Ghee, any bovine",0.227,0.162,30,191,4,11,28,12,0,19,2,1,15,15,22,55,40,40
"Glycerin, Vegetable",0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goose Fat,0.192,0.137,65,130,0,0,21,6,0,54,10,0,0,0,64,27,27,27
Grapeseed Oil,0.181,0.129,131,66,0,0,8,4,0,20,68,0,0,0,88,12,12,12
Hazelnut Oil,0.195,0.139,97,94,0,0,5,3,0,75,10,0,0,0,85,8,8,8
Hemp Oil,0.193,0.138,165,39,0,0,6,2,0,12,57,21,0,0,90,8,8,8
Horse Oil,0.196,0.140,79,117,0,3,26,5,0,10,20,19,3,3,49,34,31,31
Illipe Butter,0.185,0.132,33,152,0,0,17,45,0,35,0,0,0,0,35,62,62,62
Japan Wax,0.215,0.153,11,204,0,1,80,7,0,4,0,1,1,1,5,88,87,87
"Jatropha Oil, soapnut seed oil",0.193,0.138,102,91,0,0,9,7,0,44,34,0,0,0,78,16,16,16
Jojoba Oil (a Liquid Wax Ester),0.092,0.066,83,11,0,0,0,0,0,12,0,0,0,0,12,0,0,0
Karanja Oil,0.183,0.130,85,98,0,0,6,6,0,58,15,0,0,0,73,12,12,12
Kokum Butter,0.190,0.135,35,155,0,0,4,56,0,36,1,0,0,0,37,60,60,60
Kpangnan Butter,0.191,0.136,42,149,0,0,6,44,0,49,1,0,0,0,50,50,50,50
Kukui Nut Oil,0.189,0.135,168,24,0,0,6,2,0,20,42,29,0,0,91,8,8,8
Lanolin liquid Wax,0.106,0.076,27,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lard, Pig Tallow (Manteca)",0.198,0.141,57,139,0,1,28,13,0,46,6,0,1,1,52,42,41,41
Laurel Fruit Oil,0.198,0.141,74,124,25,1,15,1,0,31,26,1,26,26,58,42,16,16
Lauric Acid,0.280,0.200,0,280,99,1,0,0,0,0,0,0,100,100,0,100,0,0
"Linseed Oil, flax",0.190,0.135,180,0,0,0,6,3,0,27,13,50,0,0,90,9,9,9
"Loofa Seed Oil, Luffa cylinderica",0.187,0.133,108,79,0,0,9,18,0,30,47,0,0,0,77,27,27,27
Macadamia Nut Butter,0.188,0.134,70,118,0,1,6,12,0,56,3,1,1,1,60,19,18,18
Macadamia Nut Oil,0.195,0.139,76,119,0,0,9,5,0,59,2,0,0,0,61,14,14,14
"Mafura Butter, Trichilia emetica",0.198,0.141,66,132,0,1,37,3,0,49,11,1,1,1,61,41,40,40
Mango Seed Butter,0.191,0.136,45,146,0,0,7,42,0,45,3,0,0,0,48,49,49,49
Mango Seed Oil,0.190,0.135,60,130,0,0,8,27,0,52,8,1,0,0,61,35,35,35
Marula Oil,0.192,0.137,73,119,0,0,11,7,0,75,4,0,0,0,79,18,18,18
Meadowfoam Oil,0.169,0.120,92,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk Fat, any bovine",0.227,0.162,30,191,4,11,28,12,0,19,2,1,15,15,22,55,40,40
Milk Thistle Oil,0.196,0.140,115,81,0,0,7,2,0,26,64,1,0,0,91,9,9,9
Mink Oil,0.196,0.140,55,141,0,4,16,3,0,40,16,1,4,4,57,23,19,19
Monoi de Tahiti Oil,0.255,0.182,9,246,44,16,10,3,0,0,2,0,60,60,2,73,13,13
Moringa Oil,0.192,0.137,68,124,0,0,7,7,0,71,2,0,0,0,73,14,14,14
Mowrah Butter,0.194,0.138,62,132,0,0,24,22,0,36,15,0,0,0,51,46,46,46
Murumuru Butter,0.275,0.196,25,250,47,26,6,3,0,15,3,0,73,73,18,82,9,9
"Mustard Oil, kachi ghani",0.173,0.123,101,72,0,0,2,2,0,18,14,9,0,0,41,4,4,4
Myristic Acid,0.247,0.176,1,246,0,99,0,0,0,0,0,0,99,99,0,99,0,0
Neatsfoot Oil,0.180,0.128,70,110,0,0,15,3,0,60,2,0,0,0,62,18,18,18
Neem Seed Oil,0.193,0.138,72,121,0,2,21,16,0,46,12,0,2,2,58,39,37,37
Nutmeg Butter,0.162,0.115,46,116,3,83,4,0,0,5,0,0,86,86,5,90,4,4
Oat Oil,0.190,0.135,104,86,0,0,15,2,0,40,39,0,0,0,79,17,17,17
Oleic Acid,0.202,0.144,92,110,0,0,0,0,0,99,0,0,0,0,99,0,0,0
Olive Oil,0.190,0.135,85,105,0,0,14,3,0,69,12,1,0,0,82,17,17,17
Olive Oil pomace,0.188,0.134,84,104,0,0,14,3,0,69,12,2,0,0,83,17,17,17
Ostrich Oil,0.195,0.139,97,128,3,1,26,6,0,37,17,3,4,4,57,36,32,32
Palm Kernel Oil,0.247,0.176,20,227,49,16,8,2,0,15,3,0,65,65,18,75,10,10
"Palm Kernel Oil Flakes, hydrogenated",0.247,0.176,20,227,49,17,16,0,0,0,0,0,66,66,0,82,16,16
Palm Oil,0.199,0.142,53,145,0,1,44,5,0,39,10,0,1,1,49,50,49,49
Palm Stearin,0.199,0.142,48,151,0,2,60,5,0,26,7,0,2,2,33,67,65,65
Palmitic Acid,0.215,0.153,2,213,0,0,98,0,0,0,0,0,0,0,0,98,98,98
Palmolein,0.200,0.143,58,142,0,1,40,5,0,43,11,0,1,1,54,46,45,45
"Papaya Seed Oil, Carica papaya",0.158,0.113,67,91,0,0,13,5,0,76,3,0,0,0,79,18,18,18
Passion Fruit Seed Oil,0.183,0.130,136,47,0,0,10,3,0,15,70,1,0,0,86,13,13,13
Pataua (Patawa) Oil,0.200,0.143,77,123,0,0,13,4,0,78,3,1,0,0,82,17,17,17
Peach Kernel Oil,0.191,0.136,108,87,0,0,6,2,0,65,25,1,0,0,91,8,8,8
Peanut Oil,0.192,0.137,92,99,0,0,8,3,0,56,26,0,0,0,82,11,11,11
Pecan Oil,0.190,0.135,113,77,0,0,7,2,0,50,39,2,0,0,91,9,9,9
Perilla Seed Oil,0.190,0.135,196,0,0,0,6,2,0,15,16,56,0,0,87,8,8,8
"Pine Tar, lye calc only no FA",0.060,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pistachio Oil,0.186,0.133,95,91,0,0,10,2,0,60,27,0,0,0,87,12,12,12
Plum Kernel Oil,0.194,0.138,98,96,0,0,3,0,0,68,23,0,0,0,91,3,3,3
Pomegranate Seed Oil,0.190,0.135,22,168,0,0,3,3,0,7,7,78,0,0,92,6,6,6
Poppy Seed Oil,0.194,0.138,140,54,0,0,10,2,0,17,69,2,0,0,88,12,12,12
Pracaxi (Pracachy) Seed Oil,0.175,0.125,68,107,0,0,2,1,0,50,12,0,0,0,62,3,3,3
Pumpkin Seed Oil virgin,0.195,0.139,128,67,0,0,11,8,0,33,50,0,0,0,83,19,19,19
Rabbit Fat,0.201,0.143,85,116,0,1,30,3,0,30,30,5,1,1,65,34,33,33
"Rapeseed Oil, unrefined canola",0.175,0.125,106,69,0,0,4,1,0,17,13,9,0,0,39,5,5,5
Raspberry Seed Oil,0.187,0.133,163,24,0,0,3,0,0,13,55,26,0,0,94,3,3,3
Red Palm Butter,0.199,0.142,53,145,0,1,44,5,0,39,10,1,1,1,50,50,49,49
"Rice Bran Oil, refined",0.187,0.133,100,87,0,1,22,3,0,38,34,2,1,1,74,26,25,25
Rosehip Oil,0.187,0.133,188,10,0,0,4,2,0,12,46,31,0,0,89,6,6,6
"Sacha Inchi, Plukenetia volubilis",0.188,0.134,141,47,0,0,4,3,0,10,35,48,0,0,93,7,7,7
Safflower Oil,0.192,0.137,145,47,0,0,7,0,0,15,75,0,0,0,90,7,7,7
"Safflower Oil, high oleic",0.190,0.135,93,97,0,0,5,2,0,77,15,0,0,0,92,7,7,7
Sal Butter,0.185,0.132,39,146,0,0,6,44,0,40,2,0,0,0,42,50,50,50
Salmon Oil,0.185,0.132,169,16,0,5,19,3,0,23,2,1,5,5,26,27,22,22
Saw Palmetto Extract,0.230,0.164,45,185,29,11,8,2,0,35,4,1,40,40,40,50,10,10
Saw Palmetto Oil,0.220,0.157,44,176,29,13,9,2,0,31,4,1,42,42,36,53,11,11
"Sea Buckthorn Oil, seed",0.195,0.139,165,30,0,0,7,3,0,14,36,38,0,0,88,10,10,10
"Sea Buckthorn Oil, seed and berry",0.183,0.130,86,97,0,0,30,1,0,28,10,0,0,0,38,31,31,31
Sesame Oil,0.188,0.134,110,81,0,0,5,0,0,40,43,0,0,0,83,5,5,5
Shea Butter,0.179,0.128,59,116,0,0,5,40,0,48,6,0,0,0,54,45,45,45
"Shea Oil, fractionated",0.185,0.132,83,102,0,0,6,10,0,73,11,0,0,0,84,16,16,16
"SoapQuick, conventional",0.212,0.151,59,153,13,6,17,3,5,42,8,1,24,19,56,39,20,25
"SoapQuick, organic",0.213,0.152,56,156,13,5,20,3,0,45,10,0,18,18,55,41,23,23
Soybean Oil,0.191,0.136,131,61,0,0,11,5,0,24,50,8,0,0,82,16,16,16
"Soybean, 27.5% hydrogenated",0.191,0.136,78,113,0,0,9,15,0,41,7,1,0,0,49,24,24,24
"Soybean, fully hydrogenated (soy wax)",0.192,0.137,1,191,0,0,11,87,0,0,0,0,0,0,0,98,98,98
Stearic Acid,0.198,0.141,2,196,0,0,0,99,0,0,0,0,0,0,0,99,99,99
Sunflower Oil,0.189,0.135,133,63,0,0,7,4,0,16,70,1,0,0,87,11,11,11
"Sunflower Oil, high oleic",0.189,0.135,83,106,0,0,3,4,0,83,4,1,0,0,88,7,7,7
Tallow Bear,0.195,0.139,92,100,0,2,7,3,0,70,9,0,2,2,79,12,10,10
Tallow Beef,0.200,0.143,45,147,2,6,28,22,0,36,3,1,8,8,40,58,50,50
Tallow Deer,0.193,0.138,31,166,0,1,20,24,0,30,15,3,1,1,48,45,44,44
Tallow Goat,0.192,0.137,40,152,5,11,23,30,0,29,2,0,16,16,31,69,53,53
Tallow Sheep,0.194,0.138,54,156,4,10,24,13,0,26,5,0,14,14,31,51,37,37
"Tamanu Oil, kamani",0.208,0.148,111,82,0,0,13,0,0,34,38,1,0,0,73,13,13,13
Tucuma Seed Butter,0.238,0.170,13,175,48,23,6,0,0,13,0,0,71,71,13,77,6,6
Ucuuba Butter,0.205,0.146,38,167,0,0,0,31,0,44,5,0,0,0,49,31,31,31
"Walmart GV Shortening, tallow, palm",0.198,0.141,49,151,1,4,35,14,0,37,6,1,5,5,44,54,49,49
Walnut Oil,0.189,0.135,145,45,0,0,7,2,0,18,60,0,0,0,78,9,9,9
Watermelon Seed Oil,0.190,0.135,119,71,0,0,11,10,0,18,60,1,0,0,79,21,21,21
Wheat Germ Oil,0.183,0.130,128,58,0,0,17,2,0,17,58,0,0,0,75,19,19,19
"Yangu, cape chestnut",0.192,0.137,95,97,0,0,18,5,0,45,30,1,0,0,76,23,23,23
"Zapote Seed Oil, (Aceite de Sapuyul or Mamey)",0.188,0.134,72,116,0,0,9,21,0,52,13,0,0,0,65,30,30,30
